Id;Name;Name2
ABELI;Abelia R. Br.;(Abelia R. Br.)
ABELI_CHI;Abelia chinensis R. Br.;(Abelia chinensis R. Br.)
ABELI_ENG;Abelia engleriana (Graebn.) Rehder;(Abelia engleriana (Graebn.) Rehder)
ABELI_FLO;Abelia floribunda (M. Martens & Galeotti) Decne.;(Abelia floribunda (M. Martens & Galeotti) Decne.)
ABELI_GPA;Abelia xgrandiflora x Abelia parvifolia;(Abelia xgrandiflora x Abelia parvifolia)
ABELI_GRA;Abelia x grandiflora Rehder;(Abelia x grandiflora Rehder)
ABELI_MOS;Abelia mosanensis I. C. Chung ex Nakai;(Abelia mosanensis I. C. Chung ex Nakai)
ABELI_PAR;Abelia parvifolia Hemsl.;(Abelia parvifolia Hemsl.)
ABELI_TRI;Abelia triflora R. Br.;(Abelia triflora R. Br.)
ABELM;Abelmoschus;(Abelmoschus)
ABELM_ESC;Abelmoschus esculentus (L.) Moench;(Abelmoschus esculentus (L.) Moench)
ABELM_MAN;Abelmoschus manihot (L.) Medik.;(Abelmoschus manihot (L.) Medik.)
ABELO;Abeliophyllum Nakai;(Abeliophyllum Nakai)
ABELO_DIS;Abeliophyllum distichum Nakai;(Abeliophyllum distichum Nakai)
ABIES;Abies Mill.;(Abies Mill.)
ABIES_ALB;Abies alba Mill.;(Abies alba Mill.)
ABIES_AMA;Abies amabilis Douglas ex J. Forbes;(Abies amabilis Douglas ex J. Forbes)
ABIES_BAL;Abies balsamea (L.) Mill.;(Abies balsamea (L.) Mill.)
ABIES_CEP;Abies cephalonica Loudon;(Abies cephalonica Loudon)
ABIES_CIL;Abies cilicica (Antoine & Kotschy) Carriere;(Abies cilicica (Antoine & Kotschy) Carriere)
ABIES_CON;Abies concolor (Gordon & Glend.) Lindl. ex F. H. Hildebr.;(Abies concolor (Gordon & Glend.) Lindl. ex F. H. Hildebr.)
ABIES_FIR;Abies firma Siebold & Zucc.;(Abies firma Siebold & Zucc.)
ABIES_FRA;Abies fraseri (Pursh) Poir.;(Abies fraseri (Pursh) Poir.)
